numberofbags,bagweight,aroma,flavor,aftertaste,acidity,body,balance,overall,totalcuppoints,moisturepercentage
1,57480.935,70466.66,60.9,1165.2,18661,18.115,37788.66,881700.6,45084,52352.86667
2,38536.9425,49172.675,33.21,451.5,8506,17.9092,33104.7,398618.6,45053,35457.06667
3,56314.1775,49593.755,348.52,828.7,21370,18.3617,29603.3,552811.2,44964,34930.13333
4,56472.835,64841.035,87.16,1864.1,30455,18.4467,36686.7,546328.8,45114,47351.35714
5,44300.425,50304.165,15.22,362.6,6899,22.0433,29966.7,306144.5,44964,30276.28571
6,57007.99,61457.8975,28825,862,12420,13.2233,36624,659590.9,44965,46839.13333
7,48316.6475,57851.255,66.53,334.5,6375,17.545,29764.3,386694.8,45084,36871.53333
8,57983.4975,59868.77,295.08,565.6,8990,13.6025,34520.7,627320.6,45145,37199.21429
9,57230.2,55570.385,46.47,1235.2,9512,18.4242,36568,752926,45145,43122.26667
10,91088.955,122493.0925,2113.82,9215.1,64278,32.7725,57353,882875.6,44935,54035.86667
11,49220.7625,60149.82,17.82,308.3,4058,12.0667,31368,468018.5,44964,38704
12,56525.6625,61570.52,115.48,756.8,10909,19.0208,32165.3,487276.4,45053,45304.2
13,38745.1025,52915.62,49.53,483.1,12780,15.435,32233.7,460597,45052,33639.8
14,44551.3325,46560.12,76.55,765.7,5541,13.075,31471.7,434612.8,44933,34335.73333
15,63048.1475,59607.3425,63.59,596.6,15987,15.83,32302.7,448417.6,44992,35178.93333
16,73986.435,68434.6275,50.55,836.1,6308,19.9967,33481.7,602298.1,45175,50970.07143
17,71639.5475,59127.595,57.28,760.1,9940,21.2483,35128.3,559179.8,8,39044.93333
18,233893.89,279343.585,194.3,7807.3,123099,32.43,95149,1935204.5,44967,78636
19,62448.3975,59254.365,60.24,324.5,11201,23.3108,37079.7,1059960.4,44965,43978.18182
20,54054.975,61535.06,136.19,179.4,28906,19.4183,40978,941762.5,45115,41621.08333
21,74865.885,84675.03,279.17,440.3,31769,27.5367,40918.7,881815.5,8,48245.26667
22,48692.84,56997.615,110.3,639.1,7299,18.3617,33275.7,659727.3,45115,41622.93333
23,73131.405,74921.24,1622.16,1270.9,12085,14.1767,33999.7,778692.2,45085,40828.8
24,63297.9975,108001.255,1500.09,3386.4,36792,24.85,38967.7,1487363.6,45175,51722.46667
25,45375.76,52321.615,43.08,307.5,4028,22.9283,30955.7,580495,45084,32600.15385
26,46076.31,46434.28,404.96,314.5,5749,15.37,31055.3,356594.6,44965,37579.14286
27,154430.8875,168547.2125,101.89,3463.8,41256,30.36,62250.7,1754422.6,45055,63746.61538
28,62898.1025,71068.5725,46753,307.1,2007,45154,37629.7,366701.7,44935,40124.53333
29,46617.9625,41516.54,102.61,122,1933,29830,22330.3,371956,45086,33916
30,75210.755,83379.995,377.82,742.7,7992,17.77,28462,308847.9,44994,50659.35714
31,72987.43,80417.885,751.95,6283.1,18983,19.4875,45777.3,562926,44967,43829.07143
32,49620.44,71300.2325,347.94,543.4,2179,13.5217,28024.7,661244.9,44995,33111.5
33,47412.2,55428.83,392.07,796.8,30611,20.8267,29259.7,427068.8,45084,43385.33333
34,58482.4775,65441.57,52.42,2686.1,41004,21.9775,37335,483970.4,44993,45430.33333
